date,exchange_rate
2012-06-13,5.76
2012-06-16,6.27
2012-06-19,6.48
2012-06-22,6.8
2012-06-25,6.56
2012-06-28,6.58
2012-07-01,6.69
2012-07-04,6.71
2012-07-07,6.74
2012-07-10,6.98
2012-07-13,7.46
2012-07-16,7.8
2012-07-19,9.37
2012-07-22,9.53
2012-07-25,8.91
2012-07-28,8.95
2012-07-31,9.22
2012-08-03,10.12
2012-08-06,11.21
2012-08-09,11.35
2012-08-12,11.64
2012-08-15,12.3
2012-08-18,15.37
2012-08-21,10.45
2012-08-24,10.25
2012-08-27,10.99
2012-08-30,11.14
2012-09-02,10.36
2012-09-05,10.59
2012-09-08,11.27
2012-09-11,11.14
2012-09-14,11.48
2012-09-17,11.98
2012-09-20,12.63
2012-09-23,12.4
2012-09-26,12.24
2012-09-29,12.46
2012-10-02,12.58
2012-10-05,13.07
2012-10-08,12.58
2012-10-11,12.16
2012-10-14,12.1
2012-10-17,11.99
2012-10-20,11.94
2012-10-23,11.86
2012-10-26,11.56
2012-10-28,10.69
2012-10-31,11.17
2012-11-03,10.62
2012-11-06,10.97
2012-11-09,11.04
2012-11-12,11.17
2012-11-15,11.28
2012-11-18,11.82
2012-11-21,11.9
2012-11-24,12.46
2012-11-27,12.5
2012-11-30,12.66
2012-12-03,12.75
2012-12-06,13.69
2012-12-09,13.53
2012-12-12,13.8
2012-12-15,13.75
2012-12-18,13.4
2012-12-21,13.63
2012-12-24,13.45
2012-12-27,13.51
2012-12-30,13.57
2013-01-02,13.42
2013-01-05,13.54
2013-01-08,13.84
2013-01-11,14.31
2013-01-14,14.34
2013-01-17,15.53
2013-01-20,16.15
2013-01-23,17.97
2013-01-26,17.71
2013-01-29,19.78
2013-02-01,21.25
2013-02-04,20.99
2013-02-07,22.15
2013-02-10,23.97
2013-02-13,24.3
2013-02-16,27.39
2013-02-19,29.48
2013-02-22,30.52
2013-02-25,30.4
2013-02-28,33.36
2013-03-03,34.25
2013-03-06,42
2013-03-09,46.93
2013-03-12,44.32
2013-03-15,46.9
2013-03-18,52.12
2013-03-21,70.25
2013-03-24,71.93
2013-03-27,88.8
2013-03-30,92.5
2013-04-03,117.34
2013-04-06,142.1
2013-04-09,186.96
2013-04-12,124.9
2013-04-15,100
2013-04-18,93.9
2013-04-21,127.5
2013-04-24,142.5
2013-04-27,137
2013-04-30,144.54
2013-05-03,103.3
2013-05-06,115.98
2013-05-09,113.35
2013-05-12,115.68
2013-05-15,112
2013-05-18,123.32
2013-05-21,122.02
2013-05-24,126.7
2013-05-27,133.5
2013-05-30,132.3
2013-06-02,129.3
2013-06-05,121.42
2013-06-08,111.5
2013-06-11,106.1
2013-06-14,103.9
2013-06-17,99.9
2013-06-20,107.68
2013-06-23,108.35
2013-06-26,103.89
2013-06-29,94.65
2013-07-02,87
2013-07-05,80.04
2013-07-08,75
2013-07-11,87.9
2013-07-14,98
2013-07-17,97.05
2013-07-20,92
2013-07-23,91.99
2013-07-26,97
2013-07-29,98.7
2013-08-01,106.2
2013-08-04,104.95
2013-08-07,106.56
2013-08-10,102.8
2013-08-13,106.64
2013-08-16,98.08
2013-08-19,99.3
2013-08-22,110.43
2013-08-25,109.04
2013-08-28,117.72
2013-08-31,124.84
2013-09-03,130.09
2013-09-06,122.63
2013-09-09,118.18
2013-09-12,126.54
2013-09-15,124.05
2013-09-18,139.15
2013-09-21,123.04
2013-09-24,122.65
2013-09-27,124.65
2013-09-30,127.01
2013-10-03,103.85
2013-10-06,121.2
2013-10-09,124.12
2013-10-12,127.41
2013-10-15,135.17
2013-10-18,143.94
